YearofRelease,Genre,GlobalSales
1980,Action,0.34
1980,Fighting,0.77
1980,Misc,2.71
1980,Shooter,7.07
1980,Sports,0.49
1981,Action,14.84
1981,Platform,6.93
1981,Puzzle,2.24
1981,Racing,0.48
1981,Shooter,10.04
1981,Simulation,0.45
1981,Sports,0.79
1982,Action,6.52
1982,Misc,0.87
1982,Platform,5.03
1982,Puzzle,10.03
1982,Racing,1.57
1982,Shooter,3.79
1982,Sports,1.05
1983,Action,2.86
1983,Adventure,0.4
1983,Misc,2.14
1983,Platform,6.93
1983,Puzzle,0.78
1983,Shooter,0.48
1983,Sports,3.2
1984,Action,1.85
1984,Misc,1.45
1984,Platform,0.69
1984,Puzzle,3.14
1984,Racing,5.95
1984,Shooter,31.1
1984,Sports,6.18
1985,Action,3.52
1985,Fighting,1.05
1985,Platform,43.17
1985,Puzzle,3.21
1985,Shooter,1
1985,Simulation,0.03
1985,Sports,1.96
1986,Action,13.74
1986,Platform,9.39
1986,Racing,1.96
1986,Role-Playing,2.52
1986,Shooter,3.89
1986,Sports,5.57
1987,Action,1.12
1987,Adventure,4.38
1987,Fighting,5.42
1987,Platform,1.74
1987,Role-Playing,4.65
1987,Shooter,0.71
1987,Sports,3.72
1988,Action,1.75
1988,Platform,27.73
1988,Puzzle,5.58
1988,Racing,2.14
1988,Role-Playing,5.88
1988,Shooter,0.51
1988,Simulation,0.03
1988,Sports,3.6
1989,Action,4.64
1989,Misc,1.28
1989,Platform,20.66
1989,Puzzle,37.75
1989,Role-Playing,2.2
1989,Shooter,1.2
1989,Sports,5.72
1990,Action,6.39
1990,Platform,22.97
1990,Puzzle,6
1990,Racing,6.26
1990,Role-Playing,4.52
1990,Simulation,1.14
1990,Sports,2.11
1991,Action,6.76
1991,Adventure,2.24
1991,Fighting,0.39
1991,Misc,0.08
1991,Platform,7.64
1991,Puzzle,3.24
1991,Racing,1.14
1991,Role-Playing,3.25
1991,Shooter,2
1991,Simulation,2.14
1991,Sports,2.41
1991,Strategy,0.94
1992,Action,3.83
1992,Adventure,12.24
1992,Fighting,15.25
1992,Misc,4.94
1992,Platform,13.42
1992,Puzzle,4.84
1992,Racing,9.04
1992,Role-Playing,6.86
1992,Shooter,0.29
1992,Simulation,2.14
1992,Sports,2.95
1992,Strategy,0.37
1993,Action,1.81
1993,Adventure,0.07
1993,Fighting,8.75
1993,Misc,0.3
1993,Platform,18.67
1993,Puzzle,3.17
1993,Racing,0.36
1993,Role-Playing,5.59
1993,Shooter,3.08
1993,Simulation,0.19
1993,Sports,3.18
1993,Strategy,0.81
1993,,0
1994,Action,1.55
1994,Adventure,3.74
1994,Fighting,8.48
1994,Misc,2.86
1994,Platform,28.74
1994,Puzzle,1.53
1994,Racing,2.19
1994,Role-Playing,7.11
1994,Shooter,8.3
1994,Simulation,2.73
1994,Sports,8.39
1994,Strategy,3.56
1995,Action,3.57
1995,Adventure,0.72
1995,Fighting,14.85
1995,Misc,6.4
1995,Platform,16.69
1995,Puzzle,2.71
1995,Racing,6.09
1995,Role-Playing,14.26
1995,Shooter,4.15
1995,Simulation,4.18
1995,Sports,7.98
1995,Strategy,6.51
1996,Action,20.58
1996,Adventure,4.19
1996,Fighting,18.06
1996,Misc,10.68
1996,Platform,28.23
1996,Puzzle,3.91
1996,Racing,28.24
1996,Role-Playing,43.96
1996,Shooter,6.91
1996,Simulation,11.33
1996,Sports,17.45
1996,Strategy,5.61
1997,Action,27.58
1997,Adventure,4.96
1997,Fighting,11.76
1997,Misc,5.69
1997,Platform,21.85
1997,Puzzle,5.89
1997,Racing,31.91
1997,Role-Playing,21.79
1997,Shooter,22.17
1997,Simulation,9.65
1997,Sports,30.02
1997,Strategy,7.71
1998,Action,39.44
1998,Adventure,9.05
1998,Fighting,31.66
1998,Misc,11.94
1998,Platform,29.88
1998,Puzzle,6.34
1998,Racing,27.9
1998,Role-Playing,28.08
1998,Shooter,9.8
1998,Simulation,7.11
1998,Sports,41.79
1998,Strategy,13.46
1999,Action,27.77
1999,Adventure,7.6
1999,Fighting,14.26
1999,Misc,20.65
1999,Platform,20.82
1999,Puzzle,1.36
1999,Racing,37.27
1999,Role-Playing,49.09
1999,Shooter,12.25
1999,Simulation,11.44
1999,Sports,30.29
1999,Strategy,18.45
2000,Action,34.04
2000,Adventure,2.98
2000,Fighting,20.22
2000,Misc,15.54
2000,Platform,16.06
2000,Puzzle,3.82
2000,Racing,19.99
2000,Role-Playing,29.03
2000,Shooter,6.81
2000,Simulation,3.38
2000,Sports,41.19
2000,Strategy,8.52
2001,Action,59.39
2001,Adventure,9.12
2001,Fighting,18.12
2001,Misc,16.4
2001,Platform,39.28
2001,Puzzle,8
2001,Racing,55.81
2001,Role-Playing,22.06
2001,Shooter,24.77
2001,Simulation,19.54
2001,Sports,51.43
2001,Strategy,7.55
2002,Action,86.76
2002,Adventure,11.05
2002,Fighting,25.02
2002,Misc,15.67
2002,Platform,45.97
2002,Puzzle,5.34
2002,Racing,30.2
2002,Role-Playing,45.13
2002,Shooter,48.58
2002,Simulation,10.81
2002,Sports,65.42
2002,Strategy,5.56
2003,Action,67.93
2003,Adventure,2.14
2003,Fighting,23.73
2003,Misc,23.82
2003,Platform,42.89
2003,Puzzle,2.42
2003,Racing,52.19
2003,Role-Playing,30.26
2003,Shooter,27.13
2003,Simulation,21.19
2003,Sports,56.11
2003,Strategy,7.99
2004,Action,76.25
2004,Adventure,8.69
2004,Fighting,16.78
2004,Misc,31.32
2004,Platform,47.22
2004,Puzzle,8.4
2004,Racing,47.83
2004,Role-Playing,53.95
2004,Shooter,46.95
2004,Simulation,10.83
2004,Sports,63.67
2004,Strategy,7.16
2005,Action,85.53
2005,Adventure,8.44
2005,Fighting,19.71
2005,Misc,61.08
2005,Platform,23.39
2005,Puzzle,20.42
2005,Racing,56.03
2005,Role-Playing,28.42
2005,Shooter,41.55
2005,Simulation,48.92
2005,Sports,59.51
2005,Strategy,5.31
2006,Action,66.13
2006,Adventure,11.37
2006,Fighting,22.42
2006,Misc,67.07
2006,Platform,49.35
2006,Puzzle,10.8
2006,Racing,33.86
2006,Role-Playing,57.37
2006,Shooter,38.24
2006,Simulation,21.56
2006,Sports,135.83
2006,Strategy,4.22
2007,Action,104.97
2007,Adventure,24.1
2007,Fighting,17.49
2007,Misc,91.52
2007,Platform,35.1
2007,Puzzle,23.74
2007,Racing,38.87
2007,Role-Playing,43.45
2007,Shooter,70.67
2007,Simulation,48.42
2007,Sports,97.78
2007,Strategy,9.26
2008,Action,135.01
2008,Adventure,24.71
2008,Fighting,35.04
2008,Misc,86.05
2008,Platform,35.14
2008,Puzzle,15.29
2008,Racing,70.03
2008,Role-Playing,59.03
2008,Shooter,59.22
2008,Simulation,46.09
2008,Sports,94.63
2008,Strategy,11.55
2009,Action,137.66
2009,Adventure,20.2
2009,Fighting,31.88
2009,Misc,75.8
2009,Platform,40.58
2009,Puzzle,19.8
2009,Racing,33.65
2009,Role-Playing,47.29
2009,Shooter,69.3
2009,Simulation,33.03
2009,Sports,137.33
2009,Strategy,12.36
2010,Action,115.49
2010,Adventure,16
2010,Fighting,14.72
2010,Misc,95.2
2010,Platform,30.98
2010,Puzzle,10.74
2010,Racing,34.36
2010,Role-Playing,69.57
2010,Shooter,76.87
2010,Simulation,21.55
2010,Sports,91.34
2010,Strategy,13.77
2011,Action,116.76
2011,Adventure,15.61
2011,Fighting,22.37
2011,Misc,54.45
2011,Platform,27.71
2011,Puzzle,4.95
2011,Racing,34.83
2011,Role-Playing,52.85
2011,Shooter,98.17
2011,Simulation,15.13
2011,Sports,56.12
2011,Strategy,8.84
2012,Action,119.1
2012,Adventure,5.8
2012,Fighting,9.2
2012,Misc,22.21
2012,Platform,18.37
2012,Puzzle,1.72
2012,Racing,13.68
2012,Role-Playing,46.91
2012,Shooter,71.8
2012,Simulation,13.36
2012,Sports,30.42
2012,Strategy,3.27
2013,Action,122.57
2013,Adventure,6.07
2013,Fighting,7.04
2013,Misc,25.28
2013,Platform,24.59
2013,Puzzle,0.95
2013,Racing,12.33
2013,Role-Playing,44.42
2013,Shooter,62.05
2013,Simulation,8.62
2013,Sports,41.23
2013,Strategy,6.09
2014,Action,97.3
2014,Adventure,5.61
2014,Fighting,15.83
2014,Misc,23.35
2014,Platform,8.78
2014,Puzzle,1.49
2014,Racing,16.64
2014,Role-Playing,45.57
2014,Shooter,65.26
2014,Simulation,5.59
2014,Sports,45.1
2014,Strategy,0.99
2015,Action,72.04
2015,Adventure,8.15
2015,Fighting,7.92
2015,Misc,11.56
2015,Platform,6.06
2015,Puzzle,0.72
2015,Racing,8.07
2015,Role-Playing,37.66
2015,Shooter,67.49
2015,Simulation,5.64
2015,Sports,40.9
2015,Strategy,1.84
2016,Action,30.23
2016,Adventure,3.83
2016,Fighting,4.44
2016,Misc,2.63
2016,Platform,3.21
2016,Puzzle,0.01
2016,Racing,2.83
2016,Role-Playing,18.12
2016,Shooter,38.23
2016,Simulation,1.89
2016,Sports,23.53
2016,Strategy,1.15
2017,Action,0.01
2017,Role-Playing,0.05
2020,Simulation,0.29
N/A,Action,27.64
N/A,Adventure,4.23
N/A,Fighting,4.85
N/A,Misc,12.24
N/A,Platform,2.22
N/A,Puzzle,2.69
N/A,Racing,5.2
N/A,Role-Playing,3.5
N/A,Shooter,11.11
N/A,Simulation,2.02
N/A,Sports,21.61
N/A,Strategy,1.65
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
